Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
,,,,,10347,34.0,34,,,,,,
,,,,,10454,107.0,107,,,,,,
,,,,,10494,40.0,40,,,,,,
,,,,,10543,49.0,49,,,,,,
,,,,,10591,48.0,48,,,,,,
,,,,,10639,48.0,48,,,,,,
,,,,,10683,44.0,44,,,,,,
,,,,,10715,32.0,32,,,,,,
,,,,,10765,50.0,50,,,,,,
,,,,,10814,49.0,49,,,,,,
,,,,,10831,17.0,17,,,,,,
,,,,,10871,40.0,40,,,,,,
,,,,,10881,10.0,10,,,,,,
,,,,,10904,23.0,23,,,,,,
,,,,,10945,41.0,41,,,,,,
,,,,,10967,22.0,22,,,,,,
,,,,,10991,24.0,24,,,,,,
,,,,,11000,,,0.11838588118553162,8.707836151123047,8.670225143432617,1.3621814250946045,0.67,0.0005
,,,,,11023,32.0,32,,,,,,
,,,,,11043,20.0,20,,,,,,
,,,,,11065,22.0,22,,,,,,
,,,,,11125,60.0,60,,,,,,
,,,,,11187,62.0,62,,,,,,
,,,,,11206,19.0,19,,,,,,
,,,,,11263,57.0,57,,,,,,
,,,,,11325,62.0,62,,,,,,
,,,,,11366,41.0,41,,,,,,
,,,,,11424,58.0,58,,,,,,
,,,,,11457,33.0,33,,,,,,
,,,,,11468,11.0,11,,,,,,
,,,,,11505,37.0,37,,,,,,
,,,,,11542,37.0,37,,,,,,
,,,,,11559,17.0,17,,,,,,
,,,,,11592,33.0,33,,,,,,
,,,,,11641,49.0,49,,,,,,
,,,,,11669,28.0,28,,,,,,
,,,,,11779,110.0,110,,,,,,
,,,,,11812,33.0,33,,,,,,
,,,,,11851,39.0,39,,,,,,
,,,,,11981,130.0,130,,,,,,
,,,,,12000,,,0.062221378087997437,9.883472442626953,9.87391471862793,0.9902533888816833,0.6399999999999999,0.0005
,,,,,12081,100.0,100,,,,,,
,,,,,12114,33.0,33,,,,,,
,,,,,12170,56.0,56,,,,,,
,,,,,12232,62.0,62,,,,,,
,,,,,12252,20.0,20,,,,,,
,,,,,12329,77.0,77,,,,,,
,,,,,12361,32.0,32,,,,,,
,,,,,12404,43.0,43,,,,,,
,,,,,12471,67.0,67,,,,,,
172.7,37.833977,233.0,103.0,172.7,12500,,,0.06243555247783661,10.602209091186523,10.617359161376953,0.9204029440879822,0.625,0.0005
,,,,,12518,47.0,47,,,,,,
,,,,,12572,54.0,54,,,,,,
,,,,,12638,66.0,66,,,,,,
,,,,,12647,9.0,9,,,,,,
,,,,,12688,41.0,41,,,,,,
,,,,,12720,32.0,32,,,,,,
,,,,,12776,56.0,56,,,,,,
,,,,,12847,71.0,71,,,,,,
,,,,,12920,73.0,73,,,,,,
,,,,,12945,25.0,25,,,,,,
,,,,,12975,30.0,30,,,,,,
,,,,,13000,,,0.5236260890960693,10.626087188720703,10.564001083374023,1.4998395442962646,0.61,0.0005
,,,,,13035,60.0,60,,,,,,
