Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
,,,,,3109,6.0,6,,,,,,,,
,,,,,3113,4.0,4,,,,,,,,
,,,,,3116,3.0,3,,,,,,,,
,,,,,3122,6.0,6,,,,,,,,
,,,,,3126,4.0,4,,,,,,,,
,,,,,3133,7.0,7,,,,,,,,
,,,,,3141,8.0,8,,,,,,,,
,,,,,3144,3.0,3,,,,,,,,
,,,,,3150,6.0,6,,,,,,,,
,,,,,3156,6.0,6,,,,,,,,
,,,,,3161,5.0,5,,,,,,,,
,,,,,3165,4.0,4,,,,,,,,
,,,,,3171,6.0,6,,,,,,,,
,,,,,3188,17.0,17,,,,,,,,
,,,,,3194,6.0,6,,,,,,,,
,,,,,3199,5.0,5,,,,,,,,
,,,,,3204,5.0,5,,,,,,,,
,,,,,3207,3.0,3,,,,,,,,
,,,,,3212,5.0,5,,,,,,,,
,,,,,3223,11.0,11,,,,,,,,
,,,,,3228,5.0,5,,,,,,,,
,,,,,3234,6.0,6,,,,,,,,
,,,,,3247,13.0,13,,,,,,,,
,,,,,3253,6.0,6,,,,,,,,
,,,,,3260,7.0,7,,,,,,,,
,,,,,3273,13.0,13,,,,,,,,
,,,,,3277,4.0,4,,,,,,,,
,,,,,3283,6.0,6,,,,,,,,
,,,,,3293,10.0,10,,,,,,,,
,,,,,3303,10.0,10,,,,,,,,
,,,,,3307,4.0,4,,,,,,,,
,,,,,3318,11.0,11,,,,,,,,
,,,,,3322,4.0,4,,,,,,,,
,,,,,3330,8.0,8,,,,,,,,
,,,,,3335,5.0,5,,,,,,,,
,,,,,3339,4.0,4,,,,,,,,
,,,,,3351,12.0,12,,,,,,,,
,,,,,3355,4.0,4,,,,,,,,
,,,,,3359,4.0,4,,,,,,,,
,,,,,3367,8.0,8,,,,,,,,
,,,,,3372,5.0,5,,,,,,,,
,,,,,3376,4.0,4,,,,,,,,
,,,,,3383,7.0,7,,,,,,,,
,,,,,3389,6.0,6,,,,,,,,
,,,,,3395,6.0,6,,,,,,,,
,,,,,3405,10.0,10,,,,,,,,
,,,,,3409,4.0,4,,,,,,,,
,,,,,3413,4.0,4,,,,,,,,
,,,,,3418,5.0,5,,,,,,,,
,,,,,3421,3.0,3,,,,,,,,
,,,,,3427,6.0,6,,,,,,,,
,,,,,3432,5.0,5,,,,,,,,
,,,,,3445,13.0,13,,,,,,,,
,,,,,3455,10.0,10,,,,,,,,
,,,,,3459,4.0,4,,,,,,,,
,,,,,3469,10.0,10,,,,,,,,
,,,,,3472,3.0,3,,,,,,,,
,,,,,3475,3.0,3,,,,,,,,
,,,,,3490,15.0,15,,,,,,,,
,,,,,3494,4.0,4,,,,,,,,
,,,,,3497,3.0,3,,,,,,,,
,,,,,3500,3.0,3,,,,,,,,
,,,,,3505,5.0,5,,,,,,,,
,,,,,3513,8.0,8,,,,,,,,
,,,,,3516,3.0,3,,,,,,,,
,,,,,3521,5.0,5,,,,,,,,
,,,,,3524,3.0,3,,,,,,,,
,,,,,3529,5.0,5,,,,,,,,
,,,,,3541,12.0,12,,,,,,,,
,,,,,3547,6.0,6,,,,,,,,
,,,,,3551,4.0,4,,,,,,,,
,,,,,3560,9.0,9,,,,,,,,
,,,,,3582,22.0,22,,,,,,,,
,,,,,3589,7.0,7,,,,,,,,
,,,,,3593,4.0,4,,,,,,,,
,,,,,3605,12.0,12,,,,,,,,
,,,,,3618,13.0,13,,,,,,,,
,,,,,3622,4.0,4,,,,,,,,
,,,,,3627,5.0,5,,,,,,,,
,,,,,3632,5.0,5,,,,,,,,
,,,,,3637,5.0,5,,,,,,,,
