Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,alpha,alpha_loss,actor_lr,critic_lr,temperature
,,,,,69999,2497.0947,1000,,,,,,,,,,
2047.099,889.7052,2668.0051,517.2882,1000.0,70000,,,-159.01165771484375,-5.938845634460449,0.6534758806228638,157.88632202148438,157.95559692382812,0.025626426562666893,0.3385794162750244,0.0003,0.0003,0.02562771551311016
,,,,,70999,2641.8398,1000,,,,,,,,,,
,,,,,71000,,,-160.7786407470703,-5.965742111206055,0.529454231262207,159.41342163085938,159.481689453125,0.025535613298416138,0.17362290620803833,0.0003,0.0003,0.02553539350628853
,,,,,71999,2479.9863,1000,,,,,,,,,,
,,,,,72000,,,-168.04310607910156,-5.946105003356934,0.7377697229385376,167.1260223388672,167.14886474609375,0.02575232833623886,0.5896235704421997,0.0003,0.0003,0.02575303427875042
,,,,,72999,2004.7834,1000,,,,,,,,,,
,,,,,73000,,,-169.49562072753906,-6.039335250854492,0.7270634174346924,168.70046997070312,168.6612548828125,0.025789249688386917,-0.2732446789741516,0.0003,0.0003,0.025788677856326103
,,,,,73999,2738.2605,1000,,,,,,,,,,
,,,,,74000,,,-172.23501586914062,-5.993039131164551,0.8579236268997192,171.0771484375,171.1358642578125,0.025225475430488586,1.4520542621612549,0.0003,0.0003,0.025225812569260597
,,,,,74999,2725.7961,1000,,,,,,,,,,
2733.1147,18.51563,2762.2424,2705.7214,1000.0,75000,,,-173.9923553466797,-6.24808931350708,0.6164017915725708,173.03005981445312,173.07330322265625,0.02522542141377926,1.3089953660964966,0.0003,0.0003,0.0252261720597744
,,,,,75999,1857.9689,1000,,,,,,,,,,
,,,,,76000,,,-176.0677490234375,-5.966830253601074,0.6984002590179443,175.0636444091797,174.9477081298828,0.025090187788009644,-0.38137519359588623,0.0003,0.0003,0.025091510266065598
,,,,,76999,757.1347,1000,,,,,,,,,,
,,,,,77000,,,-179.40963745117188,-6.048186779022217,0.8807384967803955,178.50588989257812,178.45297241210938,0.02500441111624241,0.035236433148384094,0.0003,0.0003,0.02500511333346367
,,,,,77999,2795.6519,1000,,,,,,,,,,
,,,,,78000,,,-184.02658081054688,-5.880688667297363,0.7172282338142395,182.82424926757812,182.78509521484375,0.024613842368125916,-0.09011830389499664,0.0003,0.0003,0.02461259253323078
,,,,,78999,1255.026,1000,,,,,,,,,,
,,,,,79000,,,-180.4374237060547,-6.202212333679199,1.3956621885299683,179.2775115966797,179.24148559570312,0.024378275498747826,0.7788281440734863,0.0003,0.0003,0.02437867596745491
,,,,,79999,2832.2146,1000,,,,,,,,,,
2741.3545,200.44417,2860.032,2146.35,1000.0,80000,,,-184.4671173095703,-6.235991477966309,0.6842090487480164,183.46875,183.48880004882812,0.02436847798526287,1.2299302816390991,0.0003,0.0003,0.024368837475776672
,,,,,80999,2775.2346,1000,,,,,,,,,,
,,,,,81000,,,-182.83074951171875,-5.698373794555664,0.8332181572914124,181.93003845214844,181.6595916748047,0.024069420993328094,-0.3532674312591553,0.0003,0.0003,0.024069420993328094
,,,,,81999,2843.59,1000,,,,,,,,,,
,,,,,82000,,,-186.6203155517578,-5.508172035217285,0.5116094350814819,185.60720825195312,185.55422973632812,0.02410513535141945,-1.0324385166168213,0.0003,0.0003,0.024104423820972443
,,,,,82999,2882.3872,1000,,,,,,,,,,
,,,,,83000,,,-187.38584899902344,-5.961436748504639,0.7202486991882324,186.47885131835938,186.3930206298828,0.024102825671434402,-0.2418745458126068,0.0003,0.0003,0.02410333789885044
,,,,,83999,2901.0125,1000,,,,,,,,,,
,,,,,84000,,,-193.7743682861328,-6.138798713684082,0.6515810489654541,192.83819580078125,192.86463928222656,0.02444322593510151,0.6225206851959229,0.0003,0.0003,0.024442503228783607
,,,,,84999,2841.6077,1000,,,,,,,,,,
2515.1616,713.4659,2945.8179,990.33356,1000.0,85000,,,-191.91824340820312,-5.899110317230225,0.6151890754699707,191.07870483398438,190.9473876953125,0.024555087089538574,-0.47347599267959595,0.0003,0.0003,0.024554450064897537
,,,,,85999,2932.005,1000,,,,,,,,,,
,,,,,86000,,,-192.2735137939453,-6.034180641174316,0.5853692889213562,191.38819885253906,191.3704833984375,0.024876317009329796,-0.17522749304771423,0.0003,0.0003,0.024877045303583145
,,,,,86999,2858.342,1000,,,,,,,,,,
,,,,,87000,,,-193.04348754882812,-5.9763383865356445,0.5940362215042114,191.94247436523438,192.10342407226562,0.02507731318473816,0.08012981712818146,0.0003,0.0003,0.02507738396525383
,,,,,87999,2983.3896,1000,,,,,,,,,,
,,,,,88000,,,-191.98822021484375,-5.938271999359131,0.6591006517410278,190.9535369873047,191.136962890625,0.025497371330857277,-0.34017059206962585,0.0003,0.0003,0.02549649588763714
,,,,,88999,2964.5867,1000,,,,,,,,,,
,,,,,89000,,,-195.47781372070312,-6.561669826507568,0.6996642351150513,194.29171752929688,194.29534912109375,0.025875849649310112,1.632421851158142,0.0003,0.0003,0.025876153260469437
,,,,,89999,2997.0525,1000,,,,,,,,,,
